어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
다우리어린이집,경기도,광주시,민간,39,9,경기도 광주시 통미로16번길 2 다우리어린이집,031-797-0315,,5,,7,Y,,2017-02-23
심포니 어린이집,경기도,광주시,가정,19,5,경기도 광주시 도척면 도척로 404-6 제103동 제106호 광주근형심포니아파트,031-763-8202,,3,,4,N,,2017-02-23
동화나라어린이집,경기도,광주시,민간,150,19,경기도 광주시 노곡로5번길 52-19 노곡로 5번길 52-5,031-762-1004,,7,1,14,Y,,2017-02-23
꼬마곰어린이집,경기도,광주시,가정,18,5,경기도 광주시 도지울길12번길 18 노블레스 102-101,031-761-4343,,3,,4,Y,,2017-02-23
호아맘어린이집,경기도,광주시,가정,18,6,경기도 광주시 오포읍 상태길 64 대보맨션 2차 101호,031-718-9738,,3,,4,N,,2017-02-23
행복한어린이집,경기도,광주시,민간,133,18,경기도 광주시 탄벌길 142 -,031-797-5958,,9,1,14,Y,,2017-02-23
정다운어린이집,경기도,광주시,가정,19,5,경기도 광주시 오포읍 양벌로 303-19 삼성타운 나-102,031-766-5138,,3,,4,Y,,2017-02-23
키움어린이집,경기도,광주시,민간,93,13,경기도 광주시 순암로492번길 27 2동,031-797-2542,,7,1,16,Y,,2017-02-23
오포능평어린이집,경기도,광주시,국공립,120,0,경기도 광주시 오포읍 창뜰아랫길 62-6,031-763-1224,,8,1,22,N,,2017-02-23
초록어린이집,경기도,광주시,민간,71,12,경기도 광주시 중앙로 338-50,031-798-2204,,5,1,8,Y,,2017-02-23
아이러브키즈어린이집,경기도,광주시,가정,16,6,경기도 광주시 새말길 81-16 1동 103호(진하우스),031-711-7735,,3,,4,N,,2017-02-23
리틀바움어린이집,경기도,광주시,민간,139,5,경기도 광주시 지월로55번길 8,031-766-1033,,10,1,13,Y,,2017-02-23
성신아이어린이집,경기도,광주시,가정,18,1,경기도 광주시 이배재로 410-9 한성펠리체 102호,031-797-3826,,3,,4,N,,2017-02-23
광주이솝어린이집,경기도,광주시,민간,87,8,경기도 광주시 퇴촌면 천진암로 635,031-761-3166,,8,,16,Y,,2017-02-23
두껍아두껍아뭐하니어린이집,경기도,광주시,협동,33,6,경기도 광주시 오포읍 창뜰아랫길 37-17,031-717-9954,,,,0,N,,2017-02-23
우리아이어린이집,경기도,광주시,가정,18,6,경기도 광주시 오포읍 새말길 98 105동 101호(용마신현타운),031-711-9152,,3,,4,Y,,2017-02-23
해아뜰어린이집,경기도,광주시,민간,96,17,경기도 광주시 오포읍 새말길 94-1,031-711-2080,,7,1,8,Y,,2017-02-23
광주어린이집,경기도,광주시,국공립,85,18,경기도 광주시 파발로 202 (탄벌동),031-761-5680,,6,1,16,N,,2017-02-23
즐거운키즈어린이집,경기도,광주시,가정,18,5,경기도 광주시 오포읍 능평로 91-13 보민타운 102호,031-717-2230,,3,,4,N,,2017-02-23
하하키즈어린이집,경기도,광주시,민간,69,12,경기도 광주시 오포읍 현곡길 5-55 (추자리 193번지),031-797-7747,,5,,,Y,,2017-02-23
조이킨더어린이집,경기도,광주시,민간,131,20,경기도 광주시 초월읍 산수로58번길 100,031-766-8811,,8,,,Y,,2017-02-23
예진 어린이집,경기도,광주시,민간,105,15,경기도 광주시 오포읍 능평로 194-11,031-765-1519,,9,,,Y,,2017-02-23
베스트중앙어린이집,경기도,광주시,민간,170,9,경기도 광주시 포돌이로 59-19 (경안동),031-761-1004,,10,,,Y,,2017-02-23
회덕사임당어린이집,경기도,광주시,민간,45,12,경기도 광주시 행정타운로 112 힐하우스 101호,070-8757-1357,,7,,7,Y,,2017-02-23
생크림어린이집,경기도,광주시,민간,111,16,경기도 광주시 오포읍 대명대길11번길 27 (능평리 408외 1필지),031-719-3237,,10,1,12,Y,,2017-02-23
매산동화나라어린이집,경기도,광주시,민간,68,9,경기도 광주시 오포읍 독산동길 34-33 -,031-765-2324,,8,1,16,Y,,2017-02-23
느티나무어린이집,경기도,광주시,가정,20,7,"경기도 광주시 중앙로 338-8 101동 101호(송정동, 선경파크)",031-768-7223,,3,,4,N,,2017-02-23
태전예진어린이집,경기도,광주시,민간,128,20,경기도 광주시 태봉로 20-1,031-768-0073,,10,1,20,Y,,2017-02-23
예꿈어린이집,경기도,광주시,가정,19,5,경기도 광주시 새말길 158 명가빌라 B동 101호,031-708-6417,,3,,4,N,,2017-02-23
에덴숲어린이집,경기도,광주시,가정,20,5,경기도 광주시 중앙로22번길 30-5 103동 101호(에덴빌라),031-767-7723,,3,,8,Y,,2017-02-23
인서어린이집,경기도,광주시,민간,68,11,경기도 광주시 오포읍 양벌로 98 -,031-763-7497,,6,1,12,Y,,2017-02-23
누리애뜰어린이집,경기도,광주시,민간,40,8,경기도 광주시 오포읍 새말길 128 1층,031-715-1214,,6,,8,Y,,2017-02-23
사랑숲어린이집,경기도,광주시,민간,38,6,경기도 광주시 초월읍 경충대로 1065 롯데캐슬아파트 1단지 관리동 2층,031-797-7335,,4,,4,Y,,2017-02-23
송정어린이집,경기도,광주시,국공립,91,16,경기도 광주시 중앙로203번길 5 (송정동),031-769-4991,,6,1,13,N,,2017-02-23
행복가득어린이집,경기도,광주시,가정,14,5,경기도 광주시 오포읍 창뜰윗길 36 동서아리따움 A동 102호,070-8878-1814,,3,,4,N,,2017-02-23
매산어린이집,경기도,광주시,국공립,73,12,경기도 광주시 오포읍 매자리길 11-24,031-765-5214,,6,1,10,Y,,2017-02-23
진우어린이집,경기도,광주시,국공립,73,10,경기도 광주시 도척면 진말길 11,031-764-9923,,5,1,14,Y,,2017-02-23
조이킨더어린이집,경기도,광주시,민간,131,20,경기도 광주시 초월읍 산수로58번길 100,031-766-8811,,8,,11,Y,,2017-02-23
두껍아두껍아뭐하니어린이집,경기도,광주시,부모협동,33,6,경기도 광주시 오포읍 창뜰아랫길 37-17,031-717-9954,,5,,1,N,,2017-02-23
창뜰어린이집,경기도,광주시,가정,20,6,경기도 광주시 오포읍 창뜰윗길 39-4 -,031-718-4492,,3,,0,N,,2017-02-23
즐거운키즈어린이집,경기도,광주시,가정,18,5,경기도 광주시 오포읍 능평로 91-13 보민타운 102호,031-717-2230,,3,,0,N,,2017-02-23
신현해아어린이집,경기도,광주시,가정,16,3,경기도 광주시 오포읍 새말길 71 현도빌라 102호,031-719-7953,,3,,0,N,,2017-02-23
사랑의약속어린이집,경기도,광주시,가정,15,2,"경기도 광주시 벌원길 64-5 103동 102호(탄벌동, 동보아파트)",031-762-0723,,3,,1,N,,2017-02-23
해바라기어린이집,경기도,광주시,가정,20,4,경기도 광주시 회안대로 637-35 경남아너스빌 102동 103호(탄벌동),031-768-2642,,3,,4,N,,2017-02-23
아이러브베이비어린이집,경기도,광주시,가정,16,5,경기도 광주시 오포읍 새말길 81-16 진하우스 101호,031-714-8638,,3,,0,N,,2017-02-23
엘림어린이집,경기도,광주시,가정,13,6,경기도 광주시 역동로90번길 14 우덕센스빌 마동 101호(역동),031-764-9188,,2,,3,Y,,2017-02-23
에덴어린이집,경기도,광주시,가정,20,12,경기도 광주시 포돌이로11번길 10 두진아파트 112호 (경안동),031-765-2717,,3,,4,N,,2017-02-23
현진어린이집,경기도,광주시,민간,30,4,경기도 광주시 곤지암읍 평촌길 17 현진에버빌아파트  관리동 1층,031-798-2752,,3,,4,N,,2017-02-23
사랑의어린이집,경기도,광주시,가정,19,2,경기도 광주시 벌원길 64-5 동보아파트104동105호,031-764-2714,,3,,4,Y,,2017-02-23
창뜰어린이집,경기도,광주시,가정,20,6,경기도 광주시 오포읍 창뜰윗길 39-4 -,031-718-4492,,3,,5,N,,2017-02-23
꼬꼬마어린이집,경기도,광주시,가정,20,6,"경기도 광주시 오포읍 양벌로 173 105동 104호(양벌리, 쌍용)",031-797-7432,,3,,4,Y,,2017-02-23
금강숲어린이집,경기도,광주시,민간,46,10,경기도 광주시 경안천로 145 금강펜테리움2단지 관리동,031-765-1207,,7,,8,Y,,2017-02-23
아이러브베이비어린이집,경기도,광주시,가정,16,5,경기도 광주시 오포읍 새말길 81-16 진하우스 101호,031-714-8638,,3,,4,N,,2017-02-23
열미어린이집,경기도,광주시,국공립,97,16,경기도 광주시 곤지암읍 광여로 224-14,031-769-0207,,6,1,15,Y,,2017-02-23
곤지암사임당어린이집,경기도,광주시,가정,19,5,경기도 광주시 곤지암읍 평촌길 17 현진에버빌아파트101-103,031-762-4100,,3,,4,N,,2017-02-23
올리브나무어린이집,경기도,광주시,가정,18,4,경기도 광주시 오포읍 양촌안길 35-17 세양청마루아파트 101-102,070-4024-8820,,3,,4,N,,2017-02-23
아이세상 어린이집,경기도,광주시,가정,20,5,경기도 광주시 퇴촌면 도수길 10 대영빌리지 B동 101호,031-767-7972,,3,,4,Y,,2017-02-23
엄마사랑어린이집,경기도,광주시,가정,19,6,경기도 광주시 경충대로 923-1 대주아파트103동102호,031-797-3059,,3,,4,Y,,2017-02-23
리틀동화나라어린이집,경기도,광주시,가정,19,4,경기도 광주시 오포읍 독산동길 34-44 굿모닝빌라 101호,031-797-3456,,3,,4,N,,2017-02-23
곤지암빅스맘어린이집,경기도,광주시,가정,19,9,"경기도 광주시 곤지암읍 곤지암로 120 102동 101호(곤지암리, 곤지암쌍용1차아파트)",031-8028-4155,,3,,4,Y,,2017-02-23
예꼬어린이집,경기도,광주시,가정,20,5,경기도 광주시 현산로 86 도평신일아파트  105동 104호,031-764-9669,,3,,4,Y,,2017-02-23
한사랑꿈나무어린이집,경기도,광주시,민간,46,8,경기도 광주시 곤지암로 152,031-797-0646,,4,1,5,Y,,2017-02-23
I-꼬마천사어린이집,경기도,광주시,가정,19,4,경기도 광주시 지월로55번길 24 금강아미움아파트103동102호,031-768-4233,,3,,4,Y,,2017-02-23
트니트니어린이집,경기도,광주시,가정,19,7,경기도 광주시 벌원길 64-5 동보아파트 104-116,031-699-4245,,3,,4,N,,2017-02-23
경안어린이집,경기도,광주시,민간,120,19,경기도 광주시 역동로10번길 16-3 -,031-761-1323,,10,1,16,Y,,2017-02-23
키즈캐슬어린이집,경기도,광주시,가정,19,5,"경기도 광주시 곤지암읍 곤지암로11번길 11-10 108동 101호(곤지암리, 삼주노블리제)",031-764-7723,,3,,4,Y,,2017-02-23
곤지암베이비어린이집,경기도,광주시,가정,19,6,"경기도 광주시 곤지암읍 곤지암로 108 203동 102호(곤지암리, 곤지암쌍용2차아파트)",031-762-8770,,3,,4,N,,2017-02-23
미소랑어린이집,경기도,광주시,민간,74,9,경기도 광주시 퇴촌면 탑골길 21,031-768-1911,,6,1,7,Y,,2017-02-23
알프하임어린이집,경기도,광주시,민간,168,26,경기도 광주시 오포읍 수레안길41번길 37 -,031-716-1555,,9,1,20,Y,,2017-02-23
세양어린이집,경기도,광주시,가정,20,7,경기도 광주시 오포읍 양촌안길 35-17 세양아파트 102-106호,031-797-9460,,3,,4,N,,2017-02-23
광남사임당어린이집,경기도,광주시,민간,39,6,경기도 광주시 태봉로42번길 35 (태전동),070-7604-7286,,4,,6,Y,,2017-02-23
혜윰어린이집,경기도,광주시,민간,63,9,경기도 광주시 중앙로123번길 16-18,031-766-7993,,5,1,8,Y,,2017-02-23
이슬어린이집,경기도,광주시,가정,19,7,경기도 광주시 초월읍 경충대로 921 벽산블루밍아파트 104동105호,031-798-1511,,3,,4,N,,2017-02-23
사랑맘어린이집,경기도,광주시,가정,19,5,경기도 광주시 도척면 도척로 404-6 근형심포니아파트 102동106호,031-762-9907,,3,,4,N,,2017-02-23
두리두리어린이집,경기도,광주시,가정,13,2,"경기도 광주시 송정로 69 101동 106호(경안동, 나산아파트)",031-769-3928,,3,,4,N,,2017-02-23
지니어린이집,경기도,광주시,가정,19,5,"경기도 광주시 오포읍 오포로 899 103동 101호(고산리, 우림)",031-764-8026,,3,,4,Y,,2017-02-23
햇살가득어린이집,경기도,광주시,가정,18,3,경기도 광주시 경충대로1422번길 26 동성아파트202동102호,070-8746-7705,,3,,4,N,,2017-02-23
꿈쟁이어린이집,경기도,광주시,가정,18,4,경기도 광주시 오포읍 수레실길 12 오페라하우스 A동 101호,070-4145-8535,,3,,4,N,,2017-02-23
벽산예원어린이집,경기도,광주시,민간,32,7,경기도 광주시 초월읍 경충대로 921 벽산블루밍아파트 관리동 1층,031-762-5988,,3,,4,Y,,2017-02-23
리라어린이집,경기도,광주시,가정,19,5,경기도 광주시 오포읍 봉골길 82 105-102(우림퓨전빌아파트),031-764-9888,,3,,4,N,,2017-02-23
회덕성신아이어린이집,경기도,광주시,가정,13,2,경기도 광주시 회덕길68번길 7 나동 102호 (회덕동 펠리스빌),031-769-3826,,3,,4,Y,,2017-02-23
해맑은사과나무어린이집,경기도,광주시,민간,23,5,"경기도 광주시 경안천로 91 108동 관리동(송정동, 우림필유)",070-4402-3335,,3,,4,Y,,2017-02-23
조이풀키즈채움늘어린이집,경기도,광주시,민간,171,21,경기도 광주시 초월읍 도평길 17-6,031-764-0028,,8,,12,Y,,2017-02-23
실로암어린이집,경기도,광주시,가정,20,4,"경기도 광주시 탄벌길 66 B동 101호(탄벌동, 황제쉐르빌)",031-761-6595,,3,,4,N,,2017-02-23
베베클럽어린이집,경기도,광주시,가정,19,6,"경기도 광주시 광주대로129번길 11-5 102동 102호(송정동, 현대아파트)",031-769-7757,,3,,4,Y,,2017-02-23
푸른숲우리어린이집,경기도,광주시,민간,66,11,경기도 광주시 오포읍 새말길167번길 13,031-715-9119,,6,1,12,Y,,2017-02-23
아이편한어린이집,경기도,광주시,가정,20,6,경기도 광주시 초월읍 경충대로1127번길 55 101동 102호,031-765-1209,,3,,4,Y,,2017-02-23
꼬마숲동현어린이집,경기도,광주시,민간,91,8,경기도 광주시 순암로 367-13,031-768-8443,,7,1,14,Y,,2017-02-23
이룸어린이집,경기도,광주시,민간,108,10,경기도 광주시 오포읍 양벌로 303-10 -,031-765-0016,,7,1,24,Y,,2017-02-23
영웅(Little heroes)어린이집,경기도,광주시,가정,16,6,경기도 광주시 경충대로1422번길 25 107동 102호,070-8888-5010,,4,,5,Y,,2017-02-23
지혜샘어린이집,경기도,광주시,민간,48,8,경기도 광주시 초월읍 경충대로 925-27,031-765-8004,,6,,7,Y,,2017-02-23
아이비어린이집,경기도,광주시,민간,39,7,경기도 광주시 벌원길 61  -1 현대아파트 상가 101호,031-762-3522,,4,,5,Y,,2017-02-23
지엘어린이집,경기도,광주시,민간,169,21,경기도 광주시 오포읍 양벌로 331-30,031-762-7933,,10,1,14,Y,,2017-02-23
광주중앙어린이집,경기도,광주시,민간,151,19,경기도 광주시 행정타운로138번길 1-19,031-767-8541,,9,1,13,Y,,2017-02-23
엄마누리i 어린이집,경기도,광주시,가정,20,7,경기도 광주시 모개미길 46,070-8274-5166,,2,,4,Y,,2017-02-23
햇빛어린이집,경기도,광주시,사회복지법인,58,15,경기도 광주시 초월읍 지월로55번길 24-4,031-798-3141,,5,1,7,Y,,2017-02-23
사임당롯데튼튼어린이집,경기도,광주시,가정,19,5,경기도 광주시 경충대로 1067 롯데낙천대아파트205-101(쌍동리389),031-699-1939,,3,,4,Y,,2017-02-23
꼬마대통령어린이집,경기도,광주시,민간,150,23,경기도 광주시 오포읍 오포로171번길 51,031-767-7688,,10,1,13,Y,,2017-02-23
보석어린이집,경기도,광주시,민간,35,6,경기도 광주시 봉골길134번길 14-5,031-767-3467,,5,,6,Y,,2017-02-23
키즈랜드어린이집,경기도,광주시,민간,49,5,경기도 광주시 고불로46번길 8 (중대동),031-763-0590,,3,,4,Y,,2017-02-23
남동어린이집,경기도,광주시,민간,95,10,경기도 광주시 고불로46번길 40,031-766-1688,,6,1,16,Y,,2017-02-23
베이비케슬어린이집,경기도,광주시,가정,19,7,"경기도 광주시 회안대로 350-25 102동 103호(태전동, 쌍용아파트)",031-699-2884,,3,,4,N,,2017-02-23
해누리어린이집,경기도,광주시,민간,133,15,경기도 광주시 초월읍 경수길 56,031-768-7762,,10,1,14,Y,,2017-02-23
튼튼레지오어린이집,경기도,광주시,가정,20,6,경기도 광주시 태봉로 62 성원아파트 501동 103호,031-798-1506,,4,,5,N,,2017-02-23
크레용어린이집,경기도,광주시,민간,34,7,경기도 광주시 오포읍 마루들길 272,031-768-3775,,5,,6,Y,,2017-02-23
또래어린이집,경기도,광주시,민간,90,16,경기도 광주시 초월읍 산수로 93,031-763-3004,,7,1,12,Y,,2017-02-23
세움어린이집,경기도,광주시,민간,112,15,경기도 광주시 양촌길 89-10 양벌리 585-2,031-798-8066,,9,1,16,Y,,2017-02-23
매산밀알어린이집,경기도,광주시,민간,44,6,경기도 광주시 오포읍 회안대로 98-5,031-765-2305,,5,1,7,Y,,2017-02-23
베이비수어린이집,경기도,광주시,가정,19,6,경기도 광주시 초월읍 현산로 99 103동 103호,031-797-9709,,3,,4,Y,,2017-02-23
키즈스쿨어린이집,경기도,광주시,민간,39,6,경기도 광주시 오포읍 상태길 16 상은빌딩1층,031-726-9301,,3,,4,Y,,2017-02-23
혜원어린이집,경기도,광주시,민간,131,14,경기도 광주시 초월읍 독고개길 14-6,031-699-3334,,7,1,9,Y,,2017-02-23
초롱이슬어린이집,경기도,광주시,가정,19,4,경기도 광주시 오포읍 봉골길 82 우림퓨전빌아파트 104동 101호,031-699-8030,,3,,4,Y,,2017-02-23
레인보우어린이집,경기도,광주시,민간,119,17,경기도 광주시 목동길 110,031-767-8060,,7,2,10,Y,,2017-02-23
금호어린이집,경기도,광주시,가정,19,4,경기도 광주시 오포읍 오포로909번길 32-7 104동 104호(금호베스트빌),031-762-7970,,3,,4,Y,,2017-02-23
아이꿈어린이집,경기도,광주시,가정,19,5,경기도 광주시 벌원길 64-5 동보아파트 101동103호,031-769-5177,,3,,4,N,,2017-02-23
리틀HAHA키즈어린이집,경기도,광주시,가정,19,5,"경기도 광주시 태봉로 61 201동 103호(태전동, 성원상떼빌2단지아파트)",031-762-8899,,3,,4,Y,,2017-02-23
정이랑어린이집,경기도,광주시,민간,30,6,경기도 광주시 오포읍 마루들길 259,031-767-5007,,3,,4,Y,,2017-02-23
해뜰어린이집,경기도,광주시,가정,20,5,"경기도 광주시 고불로 33 104동 101호(장지동, 현대)",070-8778-6039,,3,,4,Y,,2017-02-23
예쁜숲어린이집,경기도,광주시,가정,19,6,경기도 광주시 밭말길 70-32 아름빌 102호,031-763-0878,,3,,4,Y,,2017-02-23
아이꿈터어린이집,경기도,광주시,가정,16,1,경기도 광주시 경충대로 555-5 엘지아파트101동 106호,070-7550-3351,,4,,4,N,,2017-02-23
베베숲어린이집,경기도,광주시,가정,19,4,경기도 광주시 태봉로 77 성원아파트303동101호,031-769-7774,,3,,4,Y,,2017-02-23
광주제일어린이집,경기도,광주시,민간,106,8,경기도 광주시 포은대로 715-34,031-766-5279,,6,2,14,Y,,2017-02-23
한성어린이집,경기도,광주시,민간,173,23,경기도 광주시 초월읍 경안천로 253-21,031-765-0991,,8,1,14,Y,,2017-02-23
푸른하늘숲어린이집,경기도,광주시,민간,112,11,경기도 광주시 초월읍 진새골길 71-38,031-766-6007,,7,1,12,Y,,2017-02-23
차일드유어린이집,경기도,광주시,법인·단체등,151,18,경기도 광주시 사기막길95번길 45 (탄벌동 682-1),031-764-1255,,9,1,20,Y,,2017-02-23
혜윤어린이집,경기도,광주시,가정,20,7,"경기도 광주시 문화로85번길 19-9 101동 101호(경안동, 벨라지오빌라)",031-766-5537,,3,,6,Y,,2017-02-23
신현해아어린이집,경기도,광주시,가정,16,3,경기도 광주시 오포읍 새말길 71 현도빌라 102호,031-719-7953,,3,,4,N,,2017-02-23
꿈가득어린이집,경기도,광주시,가정,16,3,경기도 광주시 텃골길 63-17 오페라하우스 106동 101호,070-7533-3996,,3,,4,N,,2017-02-23
노아어린이집,경기도,광주시,가정,20,6,경기도 광주시 경충대로1422번길 25 101동 101호(동성1차아파트),070-7769-9023,,3,,4,Y,,2017-02-23
티움아이어린이집,경기도,광주시,민간,26,6,경기도 광주시 경충대로1422번길 25 동성아파트 관리동 1층,031-769-2993,,3,,4,N,,2017-02-23
단비어린이집,경기도,광주시,가정,20,8,경기도 광주시 산수로 1252-3 주은빌리지101호,031-763-2108,,3,,4,Y,,2017-02-23
진영어린이집,경기도,광주시,가정,19,3,경기도 광주시 도척면 도척로 404-6 근형아파트 106동101호,031-761-3734,,3,,4,Y,,2017-02-23
현대예원어린이집,경기도,광주시,민간,24,6,경기도 광주시 벌원길 63 현대아파트 관리동 1층 현대예원어린이집,031-797-0046,,3,,4,Y,,2017-02-23
하하키즈어린이집,경기도,광주시,민간,69,12,경기도 광주시 오포읍 현곡길 5-55 (추자리 193번지),031-797-7747,,7,1,8,Y,,2017-02-23
아이나라어린이집,경기도,광주시,가정,17,4,경기도 광주시 양촌안길 35-17 세양아파트101동104호,070-8272-0975,,3,,4,Y,,2017-02-23
현대숲어린이집,경기도,광주시,가정,17,6,경기도 광주시 오포읍 새말길167번길 9 현대그린빌 102동 101호,031-726-0633,,3,,4,Y,,2017-02-23
하늘사랑어린이집,경기도,광주시,가정,17,4,경기도 광주시 태재로 137-14 금강빌라 나동 102호,070-8834-1002,,3,,4,N,,2017-02-23
하람어린이집,경기도,광주시,가정,19,5,경기도 광주시 오포읍 양벌로 173 쌍용아파트102동 102호,070-8252-5350,,3,,4,Y,,2017-02-23
율곡어린이집,경기도,광주시,가정,20,6,"경기도 광주시 태봉로 77 301동 102호(태전동, 성원상떼빌3단지아파트)",031-764-2883,,4,,5,N,,2017-02-23
차일드유2관어린이집,경기도,광주시,법인·단체등,133,17,경기도 광주시 사기막길95번길 46,031-765-6127,,8,2,18,Y,,2017-02-23
조이트리 어린이집,경기도,광주시,가정,20,4,경기도 광주시 초월읍 경충대로 1065 롯데낙천대아파트 104-104,031-798-1771,,3,,4,Y,,2017-02-23
이화키즈스쿨어린이집,경기도,광주시,민간,154,27,경기도 광주시 능평로30번길 6-8,031-718-8123,,9,1,16,Y,,2017-02-23
누리어린이집,경기도,광주시,민간,140,19,경기도 광주시 오포읍 양촌길 26-33 (매산리 628-16),031-765-4117,,7,1,10,Y,,2017-02-23
청명어린이집,경기도,광주시,민간,139,16,경기도 광주시 초월읍 현산로 83-3,031-766-0201,,16,2,43,Y,,2017-02-23
산이리꼬마숲어린이집,경기도,광주시,가정,18,5,경기도 광주시 경충대로 921 벽산블루밍아파트 103-105,031-797-2117,,3,,4,N,,2017-02-23
경안뜰어린이집,경기도,광주시,민간,49,10,경기도 광주시 경안로 87-38,031-761-4847,,5,,9,Y,,2017-02-23
아이아트몬테소리어린이집,경기도,광주시,민간,66,12,경기도 광주시 이배재로 277-8,031-765-7897,,5,,7,Y,,2017-02-23
해밀숲어린이집,경기도,광주시,민간,126,19,경기도 광주시 이배재로 410-140 -,031-761-4325,,9,1,20,Y,,2017-02-23
천사어린이집,경기도,광주시,민간,184,25,경기도 광주시 오포읍 문형산길47번길 8,031-726-1237,,13,1,16,Y,,2017-02-23
아이사랑어린이집,경기도,광주시,가정,15,2,경기도 광주시 초월읍 경충대로 1067 롯데낙천대아파트203-102,031-797-5373,,3,,4,N,,2017-02-23
궁평어린이집,경기도,광주시,국공립,54,8,경기도 광주시 도척면 궁뜰길14번길 12-5,031-764-0796,,4,1,8,Y,,2017-02-23
예아어린이집,경기도,광주시,가정,19,5,경기도 광주시 오포읍 양벌로 375 대주2차 202동 103호,031-797-8355,,3,,4,Y,,2017-02-23
광주시청어린이집,경기도,광주시,직장,75,13,경기도 광주시 행정타운로 50 (송정동),031-761-1735,,6,,0,N,,2017-02-23
푸른숲어린이집,경기도,광주시,부모협동,18,4,경기도 광주시 퇴촌면 산수로 870-81,070-4139-9865,,2,,,N,,2017-02-23
두껍아두껍아뭐하니어린이집,경기도,광주시,부모협동,33,6,경기도 광주시 오포읍 창뜰아랫길 37-17,031-717-9954,,5,,,N,,2017-02-23
차일드유2관어린이집,경기도,광주시,법인·단체,133,17,경기도 광주시 사기막길95번길 46,031-765-6127,,9,1,17,Y,,2017-02-23
숲속어린이집,경기도,광주시,법인·단체,95,16,경기도 광주시 남종면 산수로 1595-7,031-765-7245,,7,,3,Y,,2017-02-23
행복가득중대동어린이집,경기도,광주시,가정,15,4,경기도 광주시 텃골길 63-15 오페라하우스 105동 102호,070-7516-2889,,3,,4,Y,,2017-02-23
예소리어린이집,경기도,광주시,민간,80,12,경기도 광주시 오포읍 양벌로 184-22,031-761-2228,,7,1,11,Y,,2017-02-23
베베스쿨어린이집,경기도,광주시,가정,20,5,경기도 광주시 회안대로 621-15 벽산아파트 204동 103호(장지동),070-7633-9655,,3,,4,N,,2017-02-23
빛나어린이집,경기도,광주시,법인·단체,68,8,경기도 광주시 퇴촌면 천진암로 534-4,031-767-5764,,6,,0,Y,,2017-02-23
혜윰어린이집,경기도,광주시,민간,63,9,경기도 광주시 중앙로123번길 16-18,031-766-7993,,5,,,Y,,2017-02-23
혜원어린이집,경기도,광주시,민간,131,14,경기도 광주시 초월읍 독고개길 14-6,031-699-3334,,7,,,Y,,2017-02-23
엄마누리어린이집,경기도,광주시,민간,60,12,경기도 광주시 모개미길 38 (목현동 438-2),031-764-7166,,4,1,7,Y,,2017-02-23
하은어린이집,경기도,광주시,가정,19,5,경기도 광주시 오포읍 마루들길 226 203동 101호(쌍용2차아파트),031-699-8033,,3,,4,Y,,2017-02-23
셈어린이집,경기도,광주시,가정,20,4,경기도 광주시 초월읍 독고개길 14-24 104동 103호,031-762-3891,,,,0,N,,2017-02-23
너울가지어린이집,경기도,광주시,민간,34,10,경기도 광주시 수하길 30 (송정동),031-766-5521,,3,,4,Y,,2017-02-23
꿈동산어린이집,경기도,광주시,가정,17,5,경기도 광주시 오포읍 양촌길 146-32  A동 101호(인창하이빌),031-767-7745,,3,,4,Y,,2017-02-23
참좋은어린이집,경기도,광주시,민간,124,19,경기도 광주시 삼지곡길 43,031-761-8051,,10,1,16,Y,,2017-02-23
초월청명어린이집,경기도,광주시,민간,180,17,경기도 광주시 초월읍 무들로 14 -,031-762-0016,,20,2,48,Y,,2017-02-23
백마어린이집,경기도,광주시,직장,34,7,경기도 광주시 오포읍 양벌로353번길 40-41 백마빌리지 106동1층,031-766-7715,,5,,8,N,,2017-02-23
라마어린이집,경기도,광주시,가정,19,2,"경기도 광주시 초월읍 경안천로 293 101동 101호(지월리, 세광엔리치빌1차아파트)",031-768-8677,,3,,4,N,,2017-02-23
풍경어린이집,경기도,광주시,가정,17,4,경기도 광주시 오포읍 상태길 101-16 1동 101호,031-726-2726,,3,,4,N,,2017-02-23
예진 어린이집,경기도,광주시,민간,105,15,경기도 광주시 오포읍 능평로 194-11,031-765-1519,,9,1,16,Y,,2017-02-23
지향어린이집,경기도,광주시,민간,112,19,경기도 광주시 오포읍 성들길 90-1 지향어린이집,031-765-4564,,7,1,15,Y,,2017-02-23
쿠키빅스맘어린이집,경기도,광주시,민간,32,6,경기도 광주시 광주대로105번길 8,031-766-2656,,3,,4,Y,,2017-02-23
세인어린이집,경기도,광주시,민간,106,10,경기도 광주시 장지3길 6-22 세인어린이집,031-767-1237,,6,1,16,Y,,2017-02-23
베스트중앙어린이집,경기도,광주시,민간,170,9,경기도 광주시 포돌이로 59-19 (경안동),031-761-1004,,10,1,13,Y,,2017-02-23
눈부신아이들빅스맘어린이집,경기도,광주시,민간,73,14,경기도 광주시 오포읍 마루들길172번길 5 -,031-762-8577,,5,1,14,Y,,2017-02-23
고은맘어린이집,경기도,광주시,민간,26,6,경기도 광주시 초월읍 경충대로 923 대주아파트 관리동 1층,031-763-2884,,3,,4,Y,,2017-02-23
