시군명,시설명,전화번호,지정일자,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
안산시,마성호내과의원,031-416-5537,2015-03-24,15573,경기도 안산시 상록구 본오동 966-1번지 2층,경기도 안산시 상록구 고목로3길 25,126.8594331,37.2849247
김포시,마송성모의원,031-988-2345,2016-06-20,10018,경기도 김포시 통진읍 서암리 714-4번지 서암리 714-4,경기도 김포시 통진읍 조강로36번길 14,126.6017588,37.6900115
군포시,마음속내과의원,031-392-3905,2016-06-14,15865,"경기도 군포시 산본동 1135번지 광림빌딩 502,503,505,506호",경기도 군포시 산본로323번길 16-15,126.93151,37.3593333
안산시,마음속내과의원,031-502-7766,2016-06-10,15537,경기도 안산시 상록구 본오동 873-1번지 상경빌딩 202호,경기도 안산시 상록구 용신로 382,126.864297,37.3013381
시흥시,마음속내과의원,031-506-7582,2016-06-16,15066,경기도 시흥시 정왕동 1734-7번지 제일프라자 203.204호,경기도 시흥시 정왕대로 230,126.7384179,37.3448592
성남시,마음속내과의원,031-757-3800,2016-06-14,13365,"경기도 성남시 중원구 성남동 3504번지 3,4층",경기도 성남시 중원구 성남대로1130번길 3,127.1297964,37.4306647
이천시,마장제일의원,031-633-8191,2016-03-02,17387,경기도 이천시 마장면 오천리 294-2번지 294-2,경기도 이천시 마장면 오천로 17,127.3510297,37.2547749
용인시,마트소아청소년과의원,031-211-7559,2011-01-07,16954,경기도 용인시 기흥구 영덕동 985-3번지 용인흥덕이마트 1층내,경기도 용인시 기흥구 흥덕중앙로 60,127.0733518,37.2757731
안성시,마트소아청소년과의원,031-657-8279,2011-05-25,17558,경기도 안성시 공도읍 양기리 306번지 (롯데마트) 2층,경기도 안성시 공도읍 서동대로 4478,127.199525,37.0077767
부천시,마학기가정의학과의원,032-652-8275,2010-01-06,14614,경기도 부천시 심곡동 323-13번지 2층,경기도 부천시 장말로 290,126.7739959,37.4912925
부천시,맑은내과의원,032-672-8233,2014-11-05,14514,"경기도 부천시 약대동 196번지 두산위브트레지움상가동 103,105, 106호",경기도 부천시 도약로 177,126.7690731,37.5107352
고양시,맑은샘이비인후과의원,02-353-1475,2014-03-13,10589,경기도 고양시 덕양구 삼송동 324-1번지 오케이세솔프라자 301,경기도 고양시 덕양구 동세로 88,126.8837309,37.650162
군포시,맑은샘이비인후과의원,031-392-5300,2014-05-07,15856,경기도 군포시 당동 921-5번지 금강프라자 204호,경기도 군포시 고산로 256,126.9442864,37.3464738
안산시,맑은샘이비인후과의원,031-401-3175,2013-01-10,15381,"경기도 안산시 단원구 원곡동 828-6번지 벽산블루밍아파트상가 402,403,404,404-1호일부 벽산아파트상가 4층 403호",,126.8002413,37.3274745
안양시,맑은성모이비인후과의원,031-468-8275,2012-05-23,13922,경기도 안양시 동안구 비산동 425번지 삼성레미안 161동3층 306호,경기도 안양시 동안구 관악대로 135,126.9395685,37.4006673
오산시,맑은숨이비인후과의원,031-374-7075,2012-01-01,18109,경기도 오산시 금암동 516-1번지 센타프라자 302호,경기도 오산시 수청로 201,127.0445003,37.1763035
용인시,맑은연합이비인후과의원,031-262-9575,2012-04-05,16897,경기도 용인시 기흥구 보정동 1263번지 죽전누리에뜰 209-1.210호 보정동 1264,경기도 용인시 기흥구 죽전로 20,127.1107695,37.3199582
남양주시,맑은의원,031-577-0300,2011-01-19,12211,경기도 남양주시 와부읍 덕소리 501-3번지 (롯데마트) 2층,경기도 남양주시 와부읍 월문천로 33,127.2145048,37.5845947
성남시,맑은이비인후과의원,031-721-7535,2009-03-04,13426,경기도 성남시 중원구 도촌동 568번지 도촌플라자 403호,경기도 성남시 중원구 도촌남로 37,127.1516946,37.4145652
파주시,맘앤차일드소아청소년과의원,031-947-0085,2010-06-25,10895,경기도 파주시 와동동 1303-3번지 윤정프라자 3층 303호,경기도 파주시 미래로602번길 3,126.751604,37.7312304
안산시,맘편한산부인과의원,031-475-3582,2014-10-15,15455,"경기도 안산시 단원구 초지동 742-9번지 메가쇼핑타운1 4층405호,6층601~603호",경기도 안산시 단원구 원포공원2로 35,126.8135182,37.3016732
수원시,매현가정의학과의원,031-215-3100,2010-10-29,16548,경기도 수원시 영통구 매탄동 1279-5번지 아이샘프라자 402호,경기도 수원시 영통구 동탄원천로881번길 58,127.0425261,37.2556044
시흥시,매화가정의학과의원,031-313-2202,2010-10-30,14940,경기도 시흥시 매화동 199-1번지 199-1,경기도 시흥시 매화1로 3,126.8146553,37.4155181
수원시,메디모아소아청소년과의원,031-295-2575,2012-09-17,16385,경기도 수원시 권선구 금곡동 1082-1번지 센타프라자 303호,경기도 수원시 권선구 금곡로102번길 20,126.9411974,37.2733272
수원시,메디모아의원,031-294-1575,2010-10-30,16405,경기도 수원시 권선구 구운동 925번지 서수원버스터미널 3층,경기도 수원시 권선구 수인로 291,126.9701698,37.2823491
성남시,메디사랑의원,031-704-9114,2009-03-06,13503,경기도 성남시 분당구 야탑동 219-1번지 아델파크빌 1층,경기도 성남시 분당구 장미로 198,127.1429362,37.4123865
수원시,메디웰아주내과의원,031-216-5114,2010-10-29,16545,경기도 수원시 영통구 매탄동 1267-3번지 풍성프라자 301호,경기도 수원시 영통구 효원로 387,127.0438582,37.259154
수원시,메디웰준이비인후과의원,031-216-7570,2010-10-29,16545,경기도 수원시 영통구 매탄동 1267-3번지 풍성프라자 302호,경기도 수원시 영통구 효원로 387,127.0438582,37.259154
부천시,메디의원,032-342-3114,2010-06-18,14777,"경기도 부천시 범박동 35-3번지 2,3층",경기도 부천시 범안로 120,126.8089315,37.4711457
용인시,메디코아내과의원,031-272-2207,2013-06-28,16837,경기도 용인시 수지구 풍덕천동 712번지 오성빌딩 2층,경기도 용인시 수지구 풍덕천로129번길 9,127.0952392,37.3238187
구리시,메디탑의원,031-552-6767,2016-06-17,11940,경기도 구리시 수택동 850-2번지 티피코시 2층,경기도 구리시 이문안로 78,127.1398751,37.5919218
성남시,메디파크산부인과의원,031-622-7000,2014-01-23,13615,"경기도 성남시 분당구 금곡동 168번지 메디파크빌딩 2~3,7~8",경기도 성남시 분당구 돌마로 43,127.1066031,37.3503443
성남시,메디파크소아청소년과의원,031-603-3344,2014-10-01,13615,경기도 성남시 분당구 금곡동 168번지 메디파크빌딩 4층,경기도 성남시 분당구 돌마로 43,127.1066031,37.3503443
성남시,메디플러스의원,031-714-0334,2009-02-19,13607,경기도 성남시 분당구 정자동 101번지 한솔마을주공7단지상가 한솔마을주공7단지상가206호,경기도 성남시 분당구 내정로 94,127.1158287,37.3685093
성남시,메디플러스의원,031-754-1131,2016-06-29,13303,경기도 성남시 수정구 태평동 3728번지,경기도 성남시 수정구 제일로 174,127.1315102,37.4418262
남양주시,메디피아산부인과의원,031-595-8400,2010-11-01,12141,경기도 남양주시 호평동 14번지,경기도 남양주시 경춘로 1511,127.2595025,37.6555021
이천시,메디홈즈의원,031-631-5191,2010-09-27,17344,경기도 이천시 송정동 375-23번지 금정프라자 102호,경기도 이천시 영창로45번길 165,127.4332693,37.2942666
성남시,메리놀정형외과.가정의학과의원,031-746-7457,2009-02-19,13395,경기도 성남시 중원구 상대원동 2992-39번지 상대원2동 2992-39,경기도 성남시 중원구 금상로 53,127.1618697,37.4400774
포천시,메리엘산부인과의원,031-541-0470,2011-06-29,11175,경기도 포천시 소흘읍 송우리 726-84번지 송우웰빙타운,경기도 포천시 소흘읍 송우로 62,127.1423351,37.8295291
안산시,메이퀸이지은산부인과의원,031-401-7777,2013-03-01,15240,"경기도 안산시 단원구 선부동 1070-11번지 동양빌딩 302,304,501호(일부)",경기도 안산시 단원구 선부광장1로 10,126.8071595,37.3354511
화성시,메타폴리스내과의원,031-831-5582,2016-06-07,18445,경기도 화성시 반송동 96번지 메타폴리스 B동3층312-2호,경기도 화성시 동탄중앙로 220,127.0688701,37.2049275
용인시,명가정의학과의원,031-896-1005,2012-11-01,16865,경기도 용인시 수지구 죽전동 920번지 수창빌딩 301호,경기도 용인시 수지구 용구대로 2797,127.1086024,37.3353406
광명시,명내과의원,02-2625-3535,2016-06-10,14279,경기도 광명시 광명동 725번지 삼보빌딩 3층302호,경기도 광명시 도덕로 40,126.8522106,37.4683256
평택시,명내과의원,031-663-1441,2012-02-16,17735,경기도 평택시 이충동 668-3번지 뜨란프라자 3층 303호,경기도 평택시 이충로35번길 22,127.0666417,37.0597336
안산시,명문소아청소년과의원,031-439-3363,2013-03-01,15360,경기도 안산시 단원구 고잔동 533-3번지 영풍플라자 304호,경기도 안산시 단원구 고잔로 76,126.8348541,37.3186987
안산시,명성의원,031-407-4406,2010-10-29,15325,경기도 안산시 상록구 일동 615-16번지 웰빙타워 2층,경기도 안산시 상록구 안산대학로 108,126.8698543,37.3095889
안산시,명성의원,031-485-8503,2016-06-16,15221,경기도 안산시 단원구 선부동 1024-5번지 선부2동,경기도 안산시 단원구 북촌3길 19-1,126.8055822,37.3431432
안산시,명소아과의원,031-411-9098,2010-10-29,15291,경기도 안산시 상록구 성포동 593-11번지 경동프라자 306~7호,경기도 안산시 상록구 예술광장1로 126,126.8440991,37.3268387
안양시,명소아과의원,031-421-4322,2010-10-29,14061,경기도 안양시 동안구 평촌동 75-9번지 인덕원근린상가 305,경기도 안양시 동안구 학의로408번길 34,126.9795848,37.3936631
이천시,명소아과의원,031-638-1936,2011-03-31,17332,경기도 이천시 부발읍 아미리 687-4번지 301호,경기도 이천시 부발읍 경충대로 2058,127.4918456,37.248808
부천시,명소아과의원,032-342-7322,2010-03-09,14676,경기도 부천시 괴안동 114-7,경기도 부천시 경인로 512,126.8123803,37.4841526
의정부시,명의원,031-852-4118,2015-07-23,11784,경기도 의정부시 용현동 408-5번지 408-5,경기도 의정부시 용민로 3,127.0794334,37.7342393
광명시,명피부과소아청소년과의원,02-897-8979,2011-07-01,14327,경기도 광명시 소하동 1269번지 이화프라자 1층,경기도 광명시 오리로 352,126.8796228,37.4338851
안양시,모두 소아청소년과 의원,031-387-3399,2016-03-11,14068,경기도 안양시 동안구 평촌동 896-6번지 초원부영아파트상가 205호,,126.9647018,37.3918842
용인시,모두가정의원,031-275-0005,2016-06-10,17003,경기도 용인시 기흥구 동백동 598-6번지 두빈빌딩 3층,경기도 용인시 기흥구 동백7로 79,127.1599348,37.2816818
부천시,모아가정의학과의원,032-655-4796,2009-07-24,14608,경기도 부천시 중동 769-12번지 2층,경기도 부천시 장말로199번길 6-2,126.7641643,37.4930029
안성시,모아산부인과의원,031-674-7744,2010-10-27,17581,경기도 안성시 석정동 23번지,경기도 안성시 중앙로 368,127.2675665,37.0076625
하남시,박애별산부인과의원,031-795-5970,2016-06-20,12969,경기도 하남시 덕풍동 394-1번지 하남프라자 306호,경기도 하남시 신장로 156,127.2018982,37.5398739
시흥시,박애의원,031-315-4115,2010-01-01,14940,경기도 시흥시 매화동 247-2번지 247-2,경기도 시흥시 매화2로 3,126.8137736,37.415769
성남시,박애의원,031-732-8834,2010-03-31,13233,경기도 성남시 중원구 상대원동 781-1번지 781-1,경기도 성남시 중원구 금상로 82,127.1645623,37.4415784
수원시,박영부내과의원,031-247-5032,2009-11-23,16286,경기도 수원시 장안구 조원동 740-1,경기도 수원시 장안구 송정로 195,127.0173863,37.299346
부천시,박영숙산부인과의원,032-343-2773,2016-07-01,14679,경기도 부천시 괴안동 168-1번지,경기도 부천시 경인로 542,126.8152149,37.4854726
수원시,박이비인후과의원,031-241-8275,2009-09-16,16274,경기도 수원시 장안구 영화동 398-1번지 메가플러스 201호,경기도 수원시 장안구 수성로258번길 3,127.0009535,37.2895167
부천시,박인승소아청소년과의원,032-342-7060,2010-03-15,14700,경기도 부천시 소사본동 424번지 1-101 박인승소아청소년과의원,경기도 부천시 은성로67번길 12,126.7995696,37.4760043
시흥시,박재성내과의원,031-317-8003,2010-10-30,14977,경기도 시흥시 하상동 376-1번지 현대프라자 301호,경기도 시흥시 연성로 83-1,126.8125711,37.3909714
성남시,박정금소아청소년과의원,031-733-5811,2010-11-01,13126,경기도 성남시 수정구 산성동 1002번지 1층,경기도 성남시 수정구 수정남로 298,127.1512322,37.4550208
남양주시,박종서내과의원,031-591-7582,2016-06-15,12218,경기도 남양주시 평내동 200-4번지 천마빌딩 3층,경기도 남양주시 경춘로1308번길 2,127.2379199,37.6500241
고양시,박종환의행복을드리는의원,031-963-6100,2013-02-26,10294,경기도 고양시 덕양구 성사동 714번지 2층,경기도 고양시 덕양구 호국로 851,126.8405686,37.660796
용인시,박지영산부인과의원,031-264-8113,2016-06-17,16841,경기도 용인시 수지구 풍덕천동 1080-9번지 하나로프라자 302호,경기도 용인시 수지구 풍덕천로 122,127.0955196,37.3224309
용인시,박진녕소아청소년과의원,031-283-9195,2010-11-01,16919,경기도 용인시 기흥구 언남동 412-2번지 시간과공간빌딩 302호,경기도 용인시 기흥구 구성로 88,127.118909,37.2941002
파주시,박진아소아청소년과의원,031-943-4762,2010-10-26,10926,경기도 파주시 금촌동 237-1번지 베스트프라자 303호,경기도 파주시 새꽃로 62,126.7689067,37.7553935
성남시,박춘원산부인과의원,031-747-6558,2016-06-17,13249,경기도 성남시 중원구 중앙동 9번지 중동 9번지 박춘원산부인과,경기도 성남시 중원구 광명로 277,127.1568489,37.4437781
구리시,박항이비인후과의원,031-557-1555,2012-01-12,11917,경기도 구리시 인창동 663-1번지 상업13지구신아월드코아 304호,경기도 구리시 건원대로 92,127.1396239,37.6093379
수원시,박희붕외과의원,031-233-5571,2016-06-14,16571,"경기도 수원시 권선구 권선동 1013번지 105-108호,111호,113호,114호,203-206호",경기도 수원시 권선구 효원로256번길 7,127.0297005,37.2615728
의정부시,박희철내과의원,031-874-5075,2016-06-20,11653,경기도 의정부시 의정부동 566번지 준프라자 3층,경기도 의정부시 신흥로 219,127.0430189,37.7356538
구리시,반내과의원,031-554-3375,2009-03-30,11914,경기도 구리시 인창동 487-49번지,경기도 구리시 동구릉로 91,127.1340159,37.6082001
안산시,반월제일의원,031-438-8001,2016-06-17,15521,경기도 안산시 상록구 건건동 902-1번지 한일프라자 105호,경기도 안산시 상록구 건건1길 27,126.901651,37.3028717
의정부시,반종호내과의원,031-846-2418,2016-06-15,11695,경기도 의정부시 의정부동 196-3번지 196-3,경기도 의정부시 평화로542번길 10,127.0480473,37.7402378
화성시,발안우리들의원,031-366-1980,2011-07-05,18594,경기도 화성시 향남읍 발안리 139-5번지 발안리+139-5+센트럴월드빌딩+201호,경기도 화성시 향남읍 발안남로55번길 27,126.9048527,37.1299205
시흥시,밝은가정의원,031-312-8300,2010-11-03,14948,경기도 시흥시 신천동 735-3번지 북시흥농협 신천지점 3층,경기도 시흥시 삼미시장4길 8,126.7839062,37.4391886
화성시,본소아청소년과의원,031-8059-7636,2012-01-17,,"경기도 화성시 향남읍 하길로 70-17, (오색마을 사랑으로부영10단지아파트)",,,
고양시,본연합의원,031-916-7576,2014-01-17,10234,경기도 고양시 일산서구 덕이동 1541번지 리더스프라자 4층2호,경기도 고양시 일산서구 하이파크3로78번길 1,126.7531541,37.698628
안산시,본오가정의학과의원,031-501-0075,2015-08-27,15563,경기도 안산시 상록구 본오동 926-7번지 1층 본오가정의학과의원,경기도 안산시 상록구 선암로 43,126.863542,37.288759
안산시,본오제일의원,031-415-7572,2011-04-07,15544,경기도 안산시 상록구 본오동 769-20번지 2층,경기도 안산시 상록구 본이로 53,126.8728463,37.2949235
용인시,본이비인후과의원,031-217-5070,2016-06-16,16943,경기도 용인시 수지구 상현동 1131번지 광교스타지 502호,경기도 용인시 수지구 광교중앙로 320,127.0697524,37.2983459
수원시,본정형외과의원,031-298-8122,2016-05-18,16422,"경기도 수원시 팔달구 화서동 724-3번지 한영빌딩 2,3층",경기도 수원시 팔달구 일월로22번길 11,126.9803624,37.2857033
의정부시,봄날에내과의원,031-878-7575,2016-06-16,11813,경기도 의정부시 민락동 804-5번지 파스텔시티 4층 404호,경기도 의정부시 천보로 38,127.096848,37.7440471
부천시,봄봄소아청소년과의원,032-677-7522,2012-05-18,14474,경기도 부천시 작동 63-7번지 302호,경기도 부천시 소사로 680,126.8044024,37.5166473
안양시,봄빛병원,031-380-7300,2009-02-20,14072,경기도 안양시 동안구 호계동 1049-3번지 1049-3,경기도 안양시 동안구 평촌대로211번길 26,126.9544832,37.3901145
평택시,봄소아과의원,031-665-9735,2009-02-21,17763,경기도 평택시 지산동 1077번지 1077,경기도 평택시 지산로 64,127.0620025,37.0796224
수원시,봄소아청소년과의원,031-204-0365,2016-04-29,16689,경기도 수원시 영통구 망포동 322-3번지 골든스퀘어 5층 505호,경기도 수원시 영통구 영통로 195,127.0559213,37.2450481
화성시,봄소아청소년과의원,031-223-6554,2009-02-20,18321,경기도 화성시 봉담읍 와우리 73-1번지 와우리 73-1(1층),경기도 화성시 봉담읍 참샘길 2,126.9761246,37.2156922
용인시,봄소아청소년과의원,031-264-1275,2015-05-06,16815,경기도 용인시 수지구 신봉동 33번지 센트럴500상가 310호,경기도 용인시 수지구 신봉2로 2,127.0778863,37.3231732
남양주시,봄소아청소년과의원,031-573-7585,2013-09-27,12112,경기도 남양주시 별내동 1019-2번지 2층,경기도 남양주시 별내중앙로 49,127.1235912,37.6467728
성남시,봄소아청소년과의원,031-8017-7555,2010-11-02,13492,경기도 성남시 분당구 삼평동 721번지 스타식스코아1 405호,경기도 성남시 분당구 판교로 372,127.1156329,37.4036128
파주시,봄소아청소년과의원,031-952-7570,2010-11-01,10816,경기도 파주시 문산읍 당동리 888-4번지 홈프라자 304호,경기도 파주시 문산읍 당동2로 1,126.7849855,37.8676909
고양시,봄소아청소년과의원,031-967-9696,2013-02-26,10462,경기도 고양시 덕양구 주교동 621-4번지 신도빌딩 1층,경기도 고양시 덕양구 호국로 819,126.8382838,37.6587747
김포시,봄소아청소년과의원,031-987-7502,2010-10-29,10083,경기도 김포시 장기동 1622번지 동서메디칼 3층,경기도 김포시 김포한강1로51번길 12,126.6676913,37.6435744
고양시,봄여성병원,031-810-2222,2009-02-27,10503,경기도 고양시 덕양구 화정동 1148-4번지,경기도 고양시 덕양구 중앙로 620,126.829869,37.6271116
화성시,봉담성모의원,031-227-7888,2009-02-17,18313,경기도 화성시 봉담읍 수영리 648-15번지 수영리 648-15,경기도 화성시 봉담읍 진등1길 65,126.9497578,37.2212427
화성시,봉담세화의원,031-298-3377,2016-06-07,18316,경기도 화성시 봉담읍 상리 11-45번지,경기도 화성시 봉담읍 샘마을길 33,126.9507632,37.2173777
시흥시,봉봉가정의학과의원,031-432-2520,2014-09-05,15050,경기도 시흥시 죽율동 752번지 상가동 2층206호,경기도 시흥시 죽율로 38,126.7612172,37.347557
평택시,봉봉소아청소년과의원,031-683-0325,2012-02-21,17808,경기도 평택시 청북읍 옥길리 1162-1번지 옥길리 1162-1 한남프라자 302호,경기도 평택시 청북읍 안청로 332,126.9159421,37.0174951
군포시,부곡사랑빛의원,031-461-2260,2012-04-04,15880,"경기도 군포시 부곡동 1141-1번지 의왕프라자 201,202",경기도 군포시 송부로291번안길 3-33,126.9449824,37.3218944
부천시,부천대성병원,032-610-1111,2016-06-17,14577,경기도 부천시 심곡동 110-6번지 부천대성병원,경기도 부천시 부천로 91,126.7841916,37.4925461
부천시,부천메디홀스의원,032-656-4114,2009-02-18,14727,경기도 부천시 송내동 385-5번지 부천메디홀스의원,경기도 부천시 경인로110번길 18,126.7674854,37.4832428
부천시,부천삼성정형외과소아청소년과의원,032-611-7272,2014-09-16,14569,경기도 부천시 원미동 111-4번지 참솔빌딩 부천삼성정형외과소아청소년과의원,경기도 부천시 부천로 108,126.7852056,37.4938094
부천시,부천서울어린이병원,032-1600-3875,2016-01-08,14542,"경기도 부천시 상동 538-3번지 대신프라자 4,5층",경기도 부천시 송내대로265번길 19,126.7578671,37.5064779
부천시,부천소아청소년과의원,032-326-3313,2010-03-15,14548,경기도 부천시 중동 1135번지 대야하이빌2차 303호,경기도 부천시 소향로 239,126.77434,37.5008256
부천시,부천신경내외의원,032-652-0488,2016-06-22,14573,경기도 부천시 심곡동 120-22번지 심곡2동 120번지 201호,경기도 부천시 부천로 80,126.7846473,37.4913577
부천시,부천씨디씨(CDC)어린이소아청소년과의원,032-327-2738,2014-07-07,14538,경기도 부천시 중동 1033-1번지 금영플라자 201호,경기도 부천시 길주로 191,126.7638768,37.5051477
부천시,부천연세365의원,032-663-0365,2016-04-20,14637,경기도 부천시 심곡본동 316-2번지 부천역사쇼핑몰 1층 105-1호,경기도 부천시 부천로 1,126.7826448,37.4840289
부천시,부천연합의원,032-611-4075,2014-06-23,14713,경기도 부천시 심곡본동 663-10,경기도 부천시 경인로216번길 27,126.7796545,37.4820681
부천시,부천우리병원,032-672-4100,2010-04-14,14420,경기도 부천시 원종동 277-14번지,경기도 부천시 소사로 766,126.8052077,37.5243881
부천시,부천이비인후과의원,032-663-0207,2009-02-25,14722,경기도 부천시 송내동 373번지 대우프라자 402호,경기도 부천시 중동로 48,126.7642256,37.4843985
부천시,부천제일의원,032-671-9011,2010-03-15,14527,경기도 부천시 춘의동 127번지 광성아파트 1층 1호,경기도 부천시 옥산로138번길 30,126.7819258,37.5054982
부천시,부천중앙내과의원,032-611-7510,2011-04-13,14608,경기도 부천시 중동 771번지 원남빌딩 2층,경기도 부천시 중동로 143,126.7665511,37.4927194
부천시,부천중앙병원,032-681-2333,2010-03-15,14427,"경기도 부천시 원종동 230-3번지 1,2,3,4층",경기도 부천시 소사로 797,126.8044423,37.5271979
부천시,부천중앙산부인과의원,032-672-3030,2016-06-17,14424,경기도 부천시 원종동 280-9번지,경기도 부천시 소사로 750,126.8051777,37.5229195
부천시,부천중앙의원,032-652-2123,2010-03-15,14565,경기도 부천시 원미동 76-1번지 원미1동 76-1,경기도 부천시 원미로 144,126.7917375,37.4952538
수원시,북수원하나이비인후과의원,031-269-1210,2016-04-21,16336,경기도 수원시 장안구 정자동 600-28번지 스카이프라자 3층 302호,경기도 수원시 장안구 이목로 24-3,126.9846756,37.3095902
성남시,분당21세기의원,031-708-6995,2016-06-20,13577,경기도 성남시 분당구 서현동 97-3번지 4층,경기도 성남시 분당구 서현로321번길 10,127.1360676,37.3799491
성남시,분당박소아청소년과의원,031-702-7585,2010-10-31,13568,경기도 성남시 분당구 이매동 120-7번지 분당코아빌딩 304호,경기도 성남시 분당구 양현로94번길 21,127.1263191,37.3909159
성남시,분당서울대학교병원,031-787-1267,2009-02-28,13620,경기도 성남시 분당구 구미동 300번지 분당서울대학교병원,경기도 성남시 분당구 구미로173번길 82,127.1241523,37.3497059
성남시,분당서울의원,031-707-7582,2014-07-11,13504,경기도 성남시 분당구 야탑동 274-2번지 대명빌딩 2층일부203호,경기도 성남시 분당구 벌말로 35,127.1379074,37.4111129
성남시,분당소아청소년과의원,031-703-3375,2010-03-08,13588,경기도 성남시 분당구 서현동 88번지 지엔느오피스텔 203호,경기도 성남시 분당구 중앙공원로39번길 49,127.1247152,37.3837275
성남시,분당여성산부인과의원,031-701-0462,2016-05-31,13506,"경기도 성남시 분당구 야탑동 360-6번지 분당메트로빌딩 403호,404호",경기도 성남시 분당구 성남대로 926,127.1292123,37.412501
성남시,분당연세가정의학과의원,031-717-7934,2012-06-14,13625,경기도 성남시 분당구 구미동 203-2번지,경기도 성남시 분당구 미금로 45,127.1157709,37.3374784
성남시,분당연세산부인과의원,031-711-1711,2016-05-31,13612,경기도 성남시 분당구 정자동 127-1번지 금곡프라자 205호,경기도 성남시 분당구 내정로 29,127.1144091,37.3627802
성남시,분당연합의원,031-709-0848,2016-06-20,13522,경기도 성남시 분당구 야탑동 533-5번지 남서울프라자 203호,경기도 성남시 분당구 판교로 441,127.1226048,37.4056963
성남시,분당제일여성병원,031-725-8500,2014-08-26,13590,경기도 성남시 분당구 서현동 260-1번지 분당제일여성병원 1~5층,경기도 성남시 분당구 서현로180번길 27,127.1217393,37.3868931
안양시,뷰인에스(S)의원,031-466-7005,2016-06-17,14006,경기도 안양시 만안구 안양동 695-150번지 에버그린프라자 303호,경기도 안양시 만안구 안양로 343,126.9181767,37.4018342
남양주시,블루밍의원,031-528-7280,2011-12-27,12071,경기도 남양주시 진접읍 내각리 747번지 백석빌딩 2층,경기도 남양주시 진접읍 내각1로73번길 3,127.1646667,37.7045206
평택시,비전의원,031-651-2121,2009-02-16,17885,경기도 평택시 비전동 830-7번지 830-7,경기도 평택시 경기대로 267,127.113004,36.9944085
용인시,비젼내과의원,031-898-1188,2012-02-16,16898,경기도 용인시 기흥구 보정동 1266-2번지 우영프라자 404호,경기도 용인시 기흥구 보정로 115,127.1151352,37.3197649
고양시,빛과소금내과의원,031-905-8175,2016-06-13,10417,경기도 고양시 일산동구 마두동 723번지 백마프라자 2층,경기도 고양시 일산동구 일산로 240,126.7885475,37.6575776
수원시,사)대한결핵협회경기도지부부설복십자의원,031-245-8671,2016-06-16,16456,경기도 수원시 팔달구 매산로3가 124-8번지,경기도 수원시 팔달구 효원로 18,127.0088349,37.2719015
화성시,사강정형외과의원,031-357-7588,2012-08-29,18550,경기도 화성시 송산면 봉가리 162-1번지,경기도 화성시 송산면 사강로 212,126.7395321,37.2130418
수원시,(사)인구보건복지협회경기도지회가족보건의원,031-256-4644,2009-02-23,16456,경기도 수원시 팔달구 매산로3가 126-12번지,경기도 수원시 팔달구 고화로14번길 11,127.008226,37.2710726
용인시,(의)영문의료재단 다보스병원,031-8021-2114,2009-03-12,17063,경기도 용인시 처인구 김량장동 18-4번지,경기도 용인시 처인구 백옥대로1082번길 18,127.2114633,37.23155
용인시,(홍인의료소비자생활협동조합)우리현대의원,031-338-8012,2016-06-03,17158,경기도 용인시 처인구 양지면 양지리 627-3번지,경기도 용인시 처인구 양지면 양지로 137,127.2836499,37.2346356
성남시,21세기미금의원,031-717-9111,2012-02-13,13618,"경기도 성남시 분당구 금곡동 158번지 미도프라자 801,802,803호",경기도 성남시 분당구 성남대로 168,127.1094367,37.3508103
성남시,21세기연세의원,031-711-7770,2012-02-16,13558,"경기도 성남시 분당구 정자동 17-6번지 정자역프라자 701,702,703호",경기도 성남시 분당구 성남대로 345,127.1076305,37.3668409
화성시,21세기우리의원,031-8003-9003,2013-02-20,18442,"경기도 화성시 반송동 217-6번지 거택프라자 2,3,4층",경기도 화성시 동탄솔빛로 48,127.0733312,37.1930853
안산시,21세기의원,031-419-8181,2012-04-24,15541,경기도 안산시 상록구 본오동 871-2번지 201호,경기도 안산시 상록구 샘골로 142,126.863325,37.2963183
성남시,21세기의원,031-702-2021,2016-06-22,13586,경기도 성남시 분당구 서현동 298-1번지 주영빌딩 2층,경기도 성남시 분당구 돌마로 482,127.1336015,37.3772308
의왕시,365건강한부곡의원,031-461-9088,2015-08-17,16088,경기도 의왕시 삼동 192-37번지 365건강한부곡의원,경기도 의왕시 부곡중앙남3길 2,126.9508386,37.3206717
광주시,365드림의원,031-761-1365,2015-07-28,12758,경기도 광주시 경안동 20-14번지 황백빌딩 4층,경기도 광주시 광주대로 35,127.2601413,37.4096667
부천시,365벗이비인후과의원,032-322-7585,2013-08-28,14537,"경기도 부천시 중동 1031-3번지 영라이프빌딩 303,307",경기도 부천시 길주로 183,126.7629377,37.5052629
남양주시,365서울내과의원,031-593-7516,2011-02-25,12145,경기도 남양주시 호평동 617-1번지 금광프라자 403호,경기도 남양주시 늘을3로 65-12,127.2478341,37.6601399
고양시,365서울소아청소년과의원,031-979-5056,2013-02-26,10500,경기도 고양시 덕양구 화정동 982번지 롯데마트4층 4층 365서울소아청소년과의원,경기도 고양시 덕양구 화중로 66,126.8310678,37.6328886
김포시,365소아청소년과의원,031-981-3650,2011-05-19,10083,"경기도 김포시 장기동 1610번지 신한프라자 503,504호",경기도 김포시 김포한강4로 113,126.6684156,37.6437657
